,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume
89,89,2022-03-16,768.0,773.599976,764.400024,768.25,766.534241,2456680
90,90,2022-03-17,776.25,779.599976,767.150024,770.450012,768.72937,2471381
91,91,2022-03-21,773.049988,782.700012,768.0,770.75,769.028687,2165538
92,92,2022-03-22,774.0,774.0,752.099976,765.799988,764.089722,2670547
93,93,2022-03-23,772.0,785.599976,763.0,766.450012,764.738281,3000265
94,94,2022-03-24,766.400024,779.400024,760.299988,772.5,770.77478,1803315
95,95,2022-03-25,779.0,779.25,768.0,770.049988,768.3302,1756340
96,96,2022-03-28,771.0,776.950012,758.599976,766.25,764.538696,2500762
97,97,2022-03-29,769.0,775.75,766.0,767.599976,765.885681,2496305
98,98,2022-03-30,773.0,795.0,769.0,789.549988,787.786682,5002096
99,99,2022-03-31,791.049988,792.75,773.0,774.700012,772.969849,2496423
100,100,2022-04-01,777.0,802.650024,775.549988,798.200012,796.417358,4160527
101,101,2022-04-04,803.950012,837.700012,803.0,832.700012,830.840332,5650502
102,102,2022-04-05,840.849976,840.950012,819.450012,822.349976,820.513428,3480544
103,103,2022-04-06,820.0,828.950012,787.75,791.950012,790.181335,5400080
104,104,2022-04-07,795.849976,801.0,784.0,787.75,785.990723,3337181
105,105,2022-04-08,791.849976,799.799988,789.049988,790.349976,788.584839,1715933
106,106,2022-04-11,790.349976,809.0,790.349976,801.400024,799.610229,2482781
107,107,2022-04-12,801.400024,801.950012,776.400024,783.599976,781.849915,2743228
108,108,2022-04-13,790.0,793.700012,778.0,780.299988,778.557312,1501647
109,109,2022-04-18,778.0,778.0,757.299988,767.200012,765.486633,2339997
110,110,2022-04-19,771.049988,778.0,745.299988,752.75,751.068848,2121322
111,111,2022-04-20,755.0,761.5,742.849976,747.599976,745.930359,2149320
112,112,2022-04-21,757.799988,761.299988,751.150024,759.650024,757.953491,1365751
113,113,2022-04-22,751.25,766.0,751.0,755.200012,753.513428,1361764
114,114,2022-04-25,745.0,754.450012,740.0,745.599976,743.934814,1579619
115,115,2022-04-26,749.0,762.799988,749.0,761.049988,759.350342,1581369
116,116,2022-04-27,755.0,758.549988,742.099976,748.5,746.828369,1666186
117,117,2022-04-28,756.700012,761.0,744.099976,757.400024,755.708496,1902979
118,118,2022-04-29,759.950012,766.650024,745.0,745.950012,744.284058,1428538
119,119,2022-05-02,740.0,742.700012,730.150024,737.5,735.852905,1299170
120,120,2022-05-04,740.0,744.700012,719.150024,721.650024,720.03833,1654040
121,121,2022-05-05,729.950012,732.599976,714.200012,717.200012,715.598267,1245236
122,122,2022-05-06,710.0,710.950012,700.0,704.549988,702.976501,2164692
123,123,2022-05-09,699.0,702.450012,684.25,690.75,689.207336,1879751
124,124,2022-05-10,688.75,698.799988,675.0,678.75,677.234131,1497882
125,125,2022-05-11,678.900024,688.0,643.650024,657.099976,655.632446,2586387
126,126,2022-05-12,653.0,653.0,618.0,620.650024,619.263916,3756193
127,127,2022-05-13,626.0,661.0,626.0,651.799988,650.344299,3683558
128,128,2022-05-16,657.849976,659.849976,639.549988,653.75,652.289978,2251248
129,129,2022-05-17,655.450012,687.0,650.549988,683.150024,681.624329,2795767
130,130,2022-05-18,686.200012,692.650024,668.599976,671.75,670.249756,2385266
131,131,2022-05-19,644.0,661.450012,644.0,654.849976,653.387512,2189389
132,132,2022-05-20,670.0,670.0,656.0,662.25,660.770996,1380474
133,133,2022-05-23,665.0,676.400024,651.549988,653.25,651.791077,2459723
134,134,2022-05-24,659.650024,659.650024,639.0,651.150024,649.695801,2143475
135,135,2022-05-25,655.0,658.25,637.0,647.450012,646.004028,2333806
136,136,2022-05-26,648.0,652.0,625.25,639.400024,637.972046,2987486
137,137,2022-05-27,649.0,665.0,648.0,652.450012,650.992859,2191764
138,138,2022-05-30,663.5,713.0,662.849976,695.099976,693.547607,7812575
