,Date,Open,High,Low,Close,Adj Close,Volume
372,2021-04-12,336.040009,339.540009,314.690002,316.399994,314.503387,14036295
373,2021-04-13,316.410004,324.600006,316.410004,322.329987,320.397797,6131320
374,2021-04-15,318.420013,326.579987,317.799988,321.619995,319.692078,5790815
375,2021-04-16,322.200012,327.619995,321.200012,325.48999,323.538879,4840415
376,2021-04-19,310.0,324.0,310.0,322.540009,320.606598,5966190
377,2021-04-20,323.200012,329.790009,323.200012,328.01001,326.043793,5716145
378,2021-04-22,322.799988,336.200012,322.799988,334.609985,332.604187,4942510
379,2021-04-23,334.0,343.579987,332.200012,342.399994,340.347504,8147370
380,2021-04-26,344.380005,347.850006,343.600006,346.170013,344.09494,3958795
381,2021-04-27,346.0,360.519989,342.929993,358.640015,356.490204,11298835
382,2021-04-28,360.0,363.600006,355.0,359.170013,357.016998,7690145
383,2021-04-29,360.200012,363.600006,353.059998,358.51001,356.360962,6060475
384,2021-04-30,356.980011,361.829987,351.549988,358.279999,356.132355,3783275
385,2021-05-03,352.200012,356.390015,350.600006,353.109985,350.993317,3866580
386,2021-05-04,357.0,357.809998,352.200012,354.040009,351.917755,2930215
387,2021-05-05,355.0,356.589996,343.0,344.730011,342.663544,6078590
388,2021-05-06,347.100006,348.799988,343.209991,345.040009,342.971741,2386180
389,2021-05-07,340.0,341.970001,336.299988,338.679993,336.649811,4155495
390,2021-05-10,340.0,351.5,338.190002,349.730011,347.633606,5144555
391,2021-05-11,345.0,360.079987,344.609985,358.459991,356.311249,6486335
392,2021-05-12,359.799988,365.799988,346.559998,349.320007,347.226044,8139435
393,2021-05-14,352.0,354.799988,346.0,349.529999,347.434784,5857255
394,2021-05-17,352.630005,356.200012,348.600006,352.420013,350.307465,3874060
395,2021-05-18,356.0,368.549988,354.049988,367.01001,364.810028,9526800
396,2021-05-19,368.799988,376.98999,368.0,371.619995,369.392365,10493850
397,2021-05-20,372.399994,374.079987,364.559998,371.130005,368.905304,4799150
398,2021-05-21,372.0,378.940002,370.01001,372.399994,370.167694,6000765
399,2021-05-24,374.0,380.559998,373.480011,376.899994,374.640717,6355885
400,2021-05-25,380.299988,382.799988,378.0,381.589996,379.302582,4947580
401,2021-05-26,384.0,386.01001,377.600006,378.809998,376.539276,4613785
402,2021-05-27,380.0,388.230011,375.200012,385.670013,383.358154,11421490
403,2021-05-28,385.600006,385.670013,377.769989,379.25,376.976624,3356385
